infraction_description,set_fine_amount,location2
PARK ON PRIVATE PROPERTY,30,1018,AT,306 FRONT ST W,,,ON,3
PARK ON PRIVATE PROPERTY,30,1018,AT,20 RICHARDSON AVE,,,ON,3
PARK ON PRIVATE PROPERTY,30,1019,AT,60 HARBOUR ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1021,AT,60 HARBOUR ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1022,,59 ISABELLA ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1023,AT,60 HARBOUR ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1043,AT,5168 YONGE ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1152,AT,3561 EGLINTON AVE W,,,ON,3
PARK ON PRIVATE PROPERTY,30,1154,AT,3561 EGLINTON AVE W,,,ON,3
PARK ON PRIVATE PROPERTY,30,1155,AT,3561 EGLINTON AVE W,,,ON,3
PARK ON PRIVATE PROPERTY,30,1157,AT,4685 YONGE ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1159,AT,4685 YONGE ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1203,AT,51 LISGAR ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1205,AT,51 LISGAR ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1223,AT,70 EDWARD ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1225,AT,70 EDWARD ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1225,AT,66 FOREST MANOR RD,,,ON,3
PARK ON PRIVATE PROPERTY,30,1301,AT,145 ELINOR AVE,,,ON,3
PARK ON PRIVATE PROPERTY,30,1307,,4001 LESLIE ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1317,AT,77 HOWARD ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1333,AT,70 EDWARD ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1340,,4001 LESLIE ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1346,AT,38 DAN LECKIE WAY,,,ON,3
PARK ON PRIVATE PROPERTY,30,1347,AT,38 DAN LECKIE WAY,,,QC,3
PARK ON PRIVATE PROPERTY,30,1349,AT,38 DAN LECKIE WAY,,,ON,3
PARK ON PRIVATE PROPERTY,30,1357,AT,38 DAN LECKIE WAY,,,ON,3
PARK ON PRIVATE PROPERTY,30,1358,AT,38 DAN LECKIE WAY,,,ON,3
PARK ON PRIVATE PROPERTY,30,1359,AT,38 DAN LECKIE WAY,,,ON,3
PARK ON PRIVATE PROPERTY,30,1610,,4001 LESLIE ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1612,AT,88 HARBOUR ST,,,ON,3
PARK ON PRIVATE PROPERTY,30,1617,,4001 LESLIE ST,,,ON,3
