infraction_description,set_fine_amount,location2
PARK-WITHIN 3M OF FIRE HYDRANT,100,KINGSBRIDGE CRT
PARK-WITHIN 3M OF FIRE HYDRANT,100,67 MADISON AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,90 KIPPENDAVIE AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,80 KIPPENDAVIE AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,66 KIPPENDAVIE AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,160 BALDWIN ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,393 UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,417 SPADINA AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,732 LOGAN AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,50 BRIAN HARRISON WAY
PARK-WITHIN 3M OF FIRE HYDRANT,100,99 YORKVILLE AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,18 PARK AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,LA PLANTE AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,SYKES AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,522 UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,178 GILLARD AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,116 PACIFIC AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,90 KIPPING AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,2 WROXETER AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,122 BOARDWALK DR
PARK-WITHIN 3M OF FIRE HYDRANT,100,613 CRAVEN RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,30 WILLCOCKS ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,43 HANNA AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,31 ELM ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,KEWBEACH AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,171 SPADINA AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,38 LEUTY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,14 COSENTINO DR
PARK-WITHIN 3M OF FIRE HYDRANT,100,34 LITTLE NORWAY CRES
PARK-WITHIN 3M OF FIRE HYDRANT,100,846 WALNUT AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,30 BALDWIN ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,HOUSEY ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,43 ELM ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,60 MONTCLAIR AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,60 LEXFIELD AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,35 HAYDEN ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,123 MILLCAR DR
PARK-WITHIN 3M OF FIRE HYDRANT,100,33 MILL ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,33 MILL ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,248 ROXTON RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,248 ROXTON RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,324 BRUNSWICK AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,131 MCCORMACK ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,131 MCCORMACK ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,650 PARLIAMENT ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,LEE AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,33 DUNFIELD AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,PRINCESS ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,33237 ASSINIBOINE RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,300 BALLIOL ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,248 GLEDHILL AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,288 QUEEN ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,HOUSEY ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,142 DANFORTH AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,735 DANFORTH AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,3 EDMUND AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,30 FERRIER AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,6 ANNDALE DR
PARK-WITHIN 3M OF FIRE HYDRANT,100,DORIS AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,11 POLSON ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,1007 LOGAN AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,6 SPRING GARDEN AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,12 HURNDALE AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,31 HERZBERG GDNS
PARK-WITHIN 3M OF FIRE HYDRANT,100,9 SHEFFER TER
PARK-WITHIN 3M OF FIRE HYDRANT,100,5500 YONGE ST
