tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***32858,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0133,NR,165 BINGHAM AVE,,,ON
***64130,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0133,NR,709 RHODES AVE,,,ON
***90426,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0133,NR,2 GAMBLE AVE,,,ON
***65206,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0134,W/S,FORMAN AVE,N/O,SOUDAN AVE,ON
***88905,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0134,NR,22 ORIOLE CRES,,,ON
***17854,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0135,NR,105 WEST LODGE AVE,,,ON
***88906,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0135,NR,30 ORIOLE CRES,,,ON
***17855,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0136,NR,105 WEST LODGE AVE,,,ON
***90427,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0136,NR,20 GAMBLE AVE,,,ON
***54326,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0137,OPP,201 CARLAW AVE,,,ON
***17856,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0137,NR,105 WEST LODGE AVE,,,ON
***90428,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0137,NR,20 GAMBLE AVE,,,ON
***17857,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0138,NR,105 WEST LODGE AVE,,,ON
***88907,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0139,NR,34 GORMLEY AVE,,,ON
***54327,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0140,NR,318 LOGAN AVE,,,ON
***65207,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0140,W/S,FALCON ST,N/O,SOUDAN AVE,ON
***17858,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0140,NR,99 WEST LODGE AVE,,,ON
***64131,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0140,OPP,136 HIAWATHA RD,,,ON
***88908,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0140,NR,24 GORMLEY AVE,,,ON
***90429,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0140,NR,20 GAMBLE AVE,,,ON
***54328,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0141,NR,356 LOGAN AVE,,,ON
***90430,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0141,NR,20 GAMBLE AVE,,,ON
***49879,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0142,NR,482 MONTROSE AVE,,,ON
***65208,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0142,W/S,FALCON ST,N/O,SOUDAN AVE,ON
***17859,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0142,NR,80 O'HARA AVE,,,ON
***54329,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0143,NR,67 NATALIE PL,,,ON
***17860,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0143,OPP,81 O'HARA AVE,,,ON
***90431,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0143,NR,20 GAMBLE AVE,,,ON
***07800,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0144,NR,88 COLGATE AVE,,,ON
***32860,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0144,OPP,311 KINGSWOOD RD,,,ON
***64132,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0144,OPP,357 ASHDALE AVE,,,ON
***90432,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0144,NR,72 GAMBLE AVE,,,ON
***07801,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0145,NR,88 COLGATE AVE,,,ON
***88909,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0145,N/S,GORMLEY AVE,W/O,LAWTON BLVD,ON
***90433,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0145,NR,72 GAMBLE AVE,,,ON
***22079,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0146,OPP,23 CUNNINGHAM AVE,,,ON
***22080,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0148,OPP,15 CUNNINGHAM AVE,,,ON
***32861,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0148,NR,310 KINGSWOOD RD,,,ON
***88910,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0148,NR,5 WALMSLEY BLVD,,,ON
***07802,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0149,NR,191 HEWARD AVE,,,ON
***22081,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0149,OPP,15 CUNNINGHAM AVE,,,ON
***64133,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0149,NR,35 GLENSIDE AVE,,,ON
***88911,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0149,NR,47 WALMSLEY BLVD,,,ON
***65209,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0150,S/S,HILLSDALE AVE E,W/O,FORMAN AVE,ON
***22082,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0150,OPP,7 CUNNINGHAM AVE,,,ON
***32862,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0150,NR,344 KINGSWOOD RD,,,ON
***07803,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0151,NR,143 HEWARD AVE,,,ON
***88912,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0151,NR,57 WALMSLEY BLVD,,,ON
***65210,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0152,S/S,HILLSDALE AVE E,W/O,FORMAN AVE,ON
***07804,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0153,NR,56 PAPE AVE,,,ON
***32863,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0153,NR,377 SCARBOROUGH RD,,,ON
***07805,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0154,NR,70 PAPE AVE,,,ON
***64134,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0154,NR,273 GREENWOOD AVE,,,ON
***22083,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0155,NR,11 EARNBRIDGE ST,,,BC
***64135,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0155,NR,273 GREENWOOD AVE,,,NJ
***20938,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0156,NR,80 PAPE AVE,,,ON
***22084,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0156,NR,16 EARNBRIDGE ST,,,ON
***20939,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0157,NR,87 PAPE AVE,,,ON
***22085,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0157,NR,16 EARNBRIDGE ST,,,ON
***88913,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0157,NR,46 ORIOLE RD,,,ON
***32864,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0158,E/S,BALSAM AVE,N/O,PINE AVE,QC
***64136,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0158,NR,248 GREENWOOD AVE,,,ON
***83005,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0158,OPP,564 RIDELLE AVE,,,ON
***90434,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0158,NR,72 GAMBLE AVE,,,ON
***90435,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0158,NR,72 GAMBLE AVE,,,ON
***20940,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0159,OPP,18 PAPE AVE,,,ON
***32865,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0159,NR,155 BALSAM AVE,,,ON
***88914,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0159,OPP,83 ORIOLE RD,,,ON
***20941,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0200,OPP,18 PAPE AVE,,,ON
***22086,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0200,NR,24 NOBLE ST,,,ON
***84413,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0200,OPP,578 RIDELLE AVE,,,ON
***84414,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0201,OPP,578 RIDELLE AVE,,,ON
***90436,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0201,NR,100 GAMBLE AVE,,,ON
***21716,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0202,NR,27 WINNIFRED AVE,,,ON
***84415,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0202,OPP,578 RIDELLE AVE,,,ON
***90437,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0202,NR,100 GAMBLE AVE,,,ON
