infraction_description,set_fine_amount,location2
PARK PROHIBITED TIME NO PERMIT,30,SHUTER ST
PARK PROHIBITED TIME NO PERMIT,30,226 GEORGE ST
PARK PROHIBITED TIME NO PERMIT,30,103 SUNNYSIDE AVE
STAND VEH.-PROHIBIT TIME/DAY,100,24 MABELLE AVE
PARK PROHIBITED TIME NO PERMIT,30,236 MACPHERSON AVE
STAND VEH.-PROHIBIT TIME/DAY,100,ALENTEJO ST
PARK PROHIBITED TIME NO PERMIT,30,96 ADMIRAL RD
PARK PROHIBITED TIME NO PERMIT,30,244 GEORGE ST
PARK PROHIBITED TIME NO PERMIT,30,236 MACPHERSON AVE
STAND VEH.-PROHIBIT TIME/DAY,100,2 SURREY PL
PARK PROHIBITED TIME NO PERMIT,30,23 HEWITT AVE
PARK PROHIBITED TIME NO PERMIT,30,39 SUNNYSIDE AVE
PARK PROHIBITED TIME NO PERMIT,30,39 SUNNYSIDE AVE
PARK PROHIBITED TIME NO PERMIT,30,39 SUNNYSIDE AVE
PARK PROHIBITED TIME NO PERMIT,30,287 MACPHERSON AVE
PARK PROHIBITED TIME NO PERMIT,30,39 SUNNYSIDE AVE
PARK PROHIBITED TIME NO PERMIT,30,109 PEMBROKE ST
PARK PROHIBITED TIME NO PERMIT,30,45 HOOK AVE
PARK PROHIBITED TIME NO PERMIT,30,95 PEMBROKE ST
PARK PROHIBITED TIME NO PERMIT,30,54 GALLEY AVE
PARK PROHIBITED TIME NO PERMIT,30,179 PEARSON AVE
PARK PROHIBITED TIME NO PERMIT,30,PEMBROKE ST
PARK PROHIBITED TIME NO PERMIT,30,PEMBROKE ST
PARK PROHIBITED TIME NO PERMIT,30,17 FORSYTH RD
PARK PROHIBITED TIME NO PERMIT,30,109 COTTINGHAM ST
PARK PROHIBITED TIME NO PERMIT,30,29 PEMBROKE ST
PARK PROHIBITED TIME NO PERMIT,30,34 GLENDALE AVE
PARK PROHIBITED TIME NO PERMIT,30,57 MARION ST
PARK PROHIBITED TIME NO PERMIT,30,34 GLENDALE AVE
PARK PROHIBITED TIME NO PERMIT,30,133 COTTINGHAM ST
PARK PROHIBITED TIME NO PERMIT,30,137 COTTINGHAM ST
PARK PROHIBITED TIME NO PERMIT,30,5 SELBY ST
PARK PROHIBITED TIME NO PERMIT,30,137 COTTINGHAM ST
PARK PROHIBITED TIME NO PERMIT,30,20 WOBURN AVE
PARK PROHIBITED TIME NO PERMIT,30,137 COTTINGHAM ST
PARK PROHIBITED TIME NO PERMIT,30,20 WOBURN AVE
PARK PROHIBITED TIME NO PERMIT,30,5 SIDNEY ST
